Task_name,Participant #,Runtime_mod,Absorption_response,Other_response,Problem_response,Words_response,Sounds_response,Images_response,Past_response,Distracting_response,Focus_response,Intrusive_response,Deliberate_response,Detailed_response,Future_response,Emotion_response,Self_response,Knowledge_response,Gradient 1,Gradient 2,Gradient 3,FAC1_1,FAC2_1,FAC3_1,FAC4_1
Movie Task-bridge,subject005,-15,6,10,1,5,4.4,8,2,5.2,6.5,1,5.1,5.6,8.8,6.1,3.3,1,-0.055046289,0.280933569,0.317858122,-1.1367,0.27513,0.11952,0.4524
Two-Back Task-faces,subject005,9,2.6,10,4.3,2,1,7.1,6.6,4.3,1.7,1,4,3.9,6.5,5.1,1,5.4,-0.025340712,0.386745896,-0.434225517,-1.24921,-0.68732,0.42715,0.22486
Two-Back Task-faces,subject005,-7,5.6,6,5,3,2,7.9,3,4,10,1,5,5.7,6.2,5.6,10,5.3,-0.025340712,0.386745896,-0.434225517,-0.22297,0.36984,-0.33813,-0.08368
Two-Back Task-scenes,subject005,-13,8.3,7,8,7.9,1,10,6.7,4,4.1,1,4,6.8,5.4,5,1,4,-0.130999829,0.464204275,-0.426960277,0.09188,-0.7116,0.44191,-0.3837
Two-Back Task-scenes,subject005,12,4.3,1,5.6,8.7,1,8,5,2,8,1,7.3,7,1,5.8,1,1,-0.130999829,0.464204275,-0.426960277,0.10864,-1.36903,-0.39287,-0.19577
Finger Tapping Task,subject005,15,10,1,1,1,1,9,1,1,6.2,1,1,1,10,5,1,1,-0.090963574,-0.241336366,-0.170440839,-1.19897,-0.35732,-1.3443,0.03357
Finger Tapping Task,subject005,13,10,6,3,6,5,2,1,10,7.2,1,5,5.9,7.2,5.7,4,3,-0.090963574,-0.241336366,-0.170440839,-0.41858,0.61896,-0.69621,-0.48366
Finger Tapping Task,subject005,9,7.9,7,4,1.5,5.7,6,1,7.7,8,1,5.2,4.9,10,5.5,7,1,-0.090963574,-0.241336366,-0.170440839,-0.79066,1.25356,-1.0723,0.09045
GoNoGo Task,subject005,-11,7,1,1.3,1,2,1,6.3,9.2,6.1,1,1,1,10,4.2,2,1,-0.31702636,0.036362577,-0.159410417,-1.70456,0.3629,-1.09703,-1.05679
GoNoGo Task,subject005,-12,8.9,6.8,6,1.7,4,1,3,8.8,8.1,1,5,1.6,3,6.7,9,1,-0.31702636,0.036362577,-0.159410417,-0.85224,0.68228,-1.00775,-0.40607
GoNoGo Task,subject005,-15,8,9,4,10,3,1.3,6,10,3,1,3.2,2,6,5.3,3,1,-0.31702636,0.036362577,-0.159410417,-1.32846,-0.07425,0.57826,-0.95588
Memory Task,subject005,6,7,7.9,7.4,4.9,1.2,6.1,7.2,8.4,6.6,1,6,7.3,3,4.1,8.2,9,-0.036691414,0.115884583,0.323863964,0.29825,-0.06884,0.64942,-0.79518
Memory Task,subject005,8,10,10,3,5.5,8.3,8,10,5.5,3.6,1,3.3,7.4,6.9,10,9.5,10,-0.036691414,0.115884583,0.323863964,0.26198,0.77456,1.30971,1.54276
Memory Task,subject005,-7,10,6.4,8,6.3,4,5,7.4,2,10,8,8,8,10,10,9,8,-0.036691414,0.115884583,0.323863964,1.59909,1.47209,-0.40545,0.49514
Reading Task,subject005,11,5,10,8,7,3,6,7.4,4.3,9,2,3,2.7,2,4,1.1,5.3,-0.19586954,-0.014883893,0.326889586,-0.83894,-0.67072,1.09585,-1.46942
Reading Task,subject005,11,8,5.6,1.6,10,3,5.8,6.8,9,2,1,3,2.9,9,7,1,6,-0.19586954,-0.014883893,0.326889586,-0.85287,-0.1857,0.83296,-0.18871
Reading Task,subject005,-8,7,5.8,3.6,4,2,6,6.1,9,10,1,3,4.9,2.3,3,3.9,5,-0.19586954,-0.014883893,0.326889586,-0.89471,-0.1857,0.51814,-1.41175
Zero-Back Task,subject005,-13,7.5,7,6,7.4,4.1,4.1,2,9.5,7,1,1.6,2,8,5,10,5,0.092938821,-0.060981931,-0.389395513,-1.00147,1.03316,-0.08278,-0.91981
Zero-Back Task,subject005,5,2,9,2.3,9,4,4.1,1,6.6,8,3,3,3.1,5,1,2,4,0.092938821,-0.060981931,-0.389395513,-1.8763,-0.2325,0.73088,-1.5388
