Task_name,Participant #,Runtime_mod,Absorption_response,Other_response,Problem_response,Images_response,Past_response,Distracting_response,Focus_response,Intrusive_response,Deliberate_response,Detailed_response,Future_response,Emotion_response,Self_response,Knowledge_response,Gradient 1,Gradient 2,Gradient 3
Zero-Back Task,subject001,-5,9.6,9.9,1.5,1.1,9,8.8,6.1,6.2,8.8,8,2.2,5.1,1.4,6.5,0.092938575,-0.060981684,-0.3893953
Zero-Back Task,subject001,-6,8.4,6.8,1,5.6,4.4,9.3,6,6.3,9,9,8,7.8,6.3,3.5,0.092938575,-0.060981684,-0.3893953
Zero-Back Task,subject002,-12,9,9.5,8.8,9.8,4,9,8.4,3,2.5,8.7,1.9,7.3,7,8.8,0.092938575,-0.060981684,-0.3893953
Zero-Back Task,subject002,-9,9.3,9.1,6.3,3.3,3.9,7.1,9,1,3.6,7.7,6.8,9,8,4,0.092938575,-0.060981684,-0.3893953
Zero-Back Task,subject003,-10,8.1,1.7,5.6,1,1,6.1,2.7,2.5,4.8,1.8,7.7,6,6.6,1.7,0.092938575,-0.060981684,-0.3893953
Zero-Back Task,subject003,13,7.6,8.6,1,1,1,7.5,2.2,4.9,3.3,3.6,1,6.7,7.5,1,0.092938575,-0.060981684,-0.3893953
Zero-Back Task,subject004,12,4.3,5.5,5.8,7.9,2.8,2.3,9.4,3.7,6.6,4.7,6.8,4.8,4.6,5,0.092938575,-0.060981684,-0.3893953
Zero-Back Task,subject004,-10,6.8,7.2,8.4,5,5,5.7,6.6,3,1.7,6,7,6.9,3,7,0.092938575,-0.060981684,-0.3893953
Zero-Back Task,subject005,7,6.4,2.7,10,3.4,1,3.5,2,2.2,4.1,5.5,1,4.3,7.9,7.2,0.092938575,-0.060981684,-0.3893953
Zero-Back Task,subject005,-7,7.6,2.3,10,2.3,2.6,3.4,2.3,3.5,7,9.3,1,4.6,3.6,10,0.092938575,-0.060981684,-0.3893953
Zero-Back Task,subject006,8,1,1,3.2,5,2,3.6,8,1,2.9,1,1,4.6,4.4,4.4,0.092938575,-0.060981684,-0.3893953
Zero-Back Task,subject006,-12,2.5,8.1,1,6,6.4,1.4,5.4,1,1,4,1,2.6,6.8,7.2,0.092938575,-0.060981684,-0.3893953
Zero-Back Task,subject007,5,3.6,3,5,2,6.2,5.2,5.2,5.3,5.5,4.5,5.8,6.6,5.3,4.5,0.092938575,-0.060981684,-0.3893953
Zero-Back Task,subject007,14,6.3,8.1,7.3,1.1,5.3,6,6,3.5,3,3.7,7.8,4.7,6.5,6.3,0.092938575,-0.060981684,-0.3893953
Zero-Back Task,subject008,13,5,8.4,8,7.8,7.2,3.7,8.3,4.6,2.1,6.4,7.7,5.8,9.5,7.5,0.092938575,-0.060981684,-0.3893953
Zero-Back Task,subject008,-11,7.2,7.7,7,5,5,3.1,7.5,5.3,7.6,5.8,7.1,7.3,7.3,7.6,0.092938575,-0.060981684,-0.3893953
Zero-Back Task,subject009,-10,8.4,1,5.3,1,2.9,1,1,9,1,2.6,1,3,1,1,0.092938575,-0.060981684,-0.3893953
Zero-Back Task,subject009,-12,3.1,1.2,4.1,1,1.4,8.1,3.8,7,5,1.9,2.5,4.1,1,1,0.092938575,-0.060981684,-0.3893953
Zero-Back Task,subject010,-7,5,7,9,7,4,4,2,9,2,5,2,8,2,3,0.092938575,-0.060981684,-0.3893953
Zero-Back Task,subject010,7,8,10,7,6,10,3,8,9,6,9,2,10,6,4,0.092938575,-0.060981684,-0.3893953
Zero-Back Task,subject011,9,4.5,10,5.3,8.6,3.9,3.4,2.1,3,6.2,8,3,7.1,1.1,5.1,0.092938575,-0.060981684,-0.3893953
Zero-Back Task,subject011,-7,7.5,6.5,2.7,4.7,3,1.9,5.3,5,3.9,6.8,7,6.8,1.3,6.8,0.092938575,-0.060981684,-0.3893953
Zero-Back Task,subject012,9,9.9,1,1,1,1.7,1,1.3,1,9.7,10,6.2,9,2.1,2.6,0.092938575,-0.060981684,-0.3893953
Zero-Back Task,subject012,-10,9.4,1.2,1,2.5,1.6,1,1,1,7,9.6,1.6,10,5,7.4,0.092938575,-0.060981684,-0.3893953
Zero-Back Task,subject013,-5,8.4,5.5,3.8,5,4,7,5,4.6,2.6,7.5,5.6,3.8,5.9,5.6,0.092938575,-0.060981684,-0.3893953
Zero-Back Task,subject013,11,7.4,7,6.1,5,2.8,7.2,4,3.3,3.6,7.4,8.4,4.5,8,4.2,0.092938575,-0.060981684,-0.3893953
Zero-Back Task,subject014,-15,8.2,8.6,6.7,9.4,7.2,7.9,3.4,9.1,2,5,7.9,2.3,6.2,2.4,0.092938575,-0.060981684,-0.3893953
Zero-Back Task,subject014,14,7.7,8,2.5,8.5,5.8,7,7,2,5.2,6.9,6.8,7.7,6.3,3.6,0.092938575,-0.060981684,-0.3893953
Zero-Back Task,subject015,-5,4,5.8,1,10,1,5.6,5.4,2.6,6.9,1,1,5,5.4,1.4,0.092938575,-0.060981684,-0.3893953
Zero-Back Task,subject015,11,8.9,5.4,1,10,5,8.7,9,8,1,1.8,5.1,5.7,6.3,2.6,0.092938575,-0.060981684,-0.3893953
Zero-Back Task,subject016,-8,4.6,2,1.1,8.4,2,5.4,4.7,8.2,8.6,8.2,1.1,3.1,3,7.3,0.092938575,-0.060981684,-0.3893953
Zero-Back Task,subject016,7,7.5,1.8,1,9.3,1.2,6.8,8.4,4.5,9.1,2.7,9,2.3,9,9.1,0.092938575,-0.060981684,-0.3893953
Zero-Back Task,subject017,11,4,7.7,3,2,8,7,4.5,6,6.6,5,3.6,6.8,5.7,8,0.092938575,-0.060981684,-0.3893953
Zero-Back Task,subject017,-11,7.1,7.5,3.1,2,8.2,7.6,4.5,5.6,4,6.4,3,7,8.2,7,0.092938575,-0.060981684,-0.3893953
Zero-Back Task,subject018,8,7,2.5,4,8,7.5,4,2.5,3,7,4,3.5,8,3,2,0.092938575,-0.060981684,-0.3893953
Zero-Back Task,subject018,6,4,3,3,9,8,6,3,2,5,6,2.5,8.8,3,8,0.092938575,-0.060981684,-0.3893953
Zero-Back Task,subject019,13,4.6,4.6,1,9,1,2.1,7.9,3.6,8.6,4.8,1.5,8,6.2,10,0.092938575,-0.060981684,-0.3893953
Zero-Back Task,subject019,14,5.9,1,4,9.7,1,6.9,10,4.5,7.4,7.1,5.2,8.1,10,1,0.092938575,-0.060981684,-0.3893953
Zero-Back Task,subject020,-13,8,7.8,7.1,3.5,5.2,7,3.5,4.1,5.7,8.2,4.8,3.7,3.4,2.8,0.092938575,-0.060981684,-0.3893953
Zero-Back Task,subject020,13,8,6.8,7.8,2.7,7.8,2.9,3.9,2,7.6,7.7,7.3,2.9,6.6,2.4,0.092938575,-0.060981684,-0.3893953
Zero-Back Task,subject021,9,8,6.8,7.9,3.6,4.3,7.9,7.4,9,4,6.6,7.5,4.1,7.5,3.9,0.092938575,-0.060981684,-0.3893953
Zero-Back Task,subject021,13,9,4.9,6.7,6,4.4,8.8,7.4,3.8,3.9,3.7,6.5,5.1,7.1,3.2,0.092938575,-0.060981684,-0.3893953
Zero-Back Task,subject022,-12,6.5,5.7,1.1,3.4,10,4.4,2.9,2.2,3.5,10,4,3,10,7.2,0.092938575,-0.060981684,-0.3893953
Zero-Back Task,subject022,6,8.2,2.7,6.7,4.3,2.5,4.4,3.1,6.2,2.8,4.9,5.1,8,10,10,0.092938575,-0.060981684,-0.3893953
Zero-Back Task,subject023,14,2.9,6.6,1,1.7,6.1,4,1.1,1.9,5.4,3.3,3.5,8.6,6.5,5.8,0.092938575,-0.060981684,-0.3893953
Zero-Back Task,subject023,9,1.7,6.7,3,3.8,5,4.6,2.9,7.2,1.4,3.7,1,1,7.9,3.2,0.092938575,-0.060981684,-0.3893953
Zero-Back Task,subject024,14,8,9,2.2,5.3,2.8,9.1,1.6,6,1.9,2.3,2.5,2.5,10,8.7,0.092938575,-0.060981684,-0.3893953
Zero-Back Task,subject024,6,9.5,7.5,1,8.6,2.3,10,1.3,2.1,1.8,1.4,6.4,5,7,1.2,0.092938575,-0.060981684,-0.3893953
Zero-Back Task,subject025,5,8.3,7.1,7,3.7,3.6,8,3.5,2.3,6.9,6.6,2.9,7,3.1,3,0.092938575,-0.060981684,-0.3893953
Zero-Back Task,subject025,-9,8,4.8,2,4.4,7,7.3,1,6.2,3.5,6.8,3.8,7.3,7.1,6.9,0.092938575,-0.060981684,-0.3893953
Zero-Back Task,subject026,8,2.4,5.2,5.8,10,7.2,4.8,8.2,1,8.4,2.8,3,8,6,3.4,0.092938575,-0.060981684,-0.3893953
Zero-Back Task,subject026,7,5,7.2,5,8.2,6,6.8,7,1,9,8,3.8,9,9,4,0.092938575,-0.060981684,-0.3893953
Zero-Back Task,subject027,10,6,7.8,8.9,10,1.8,1,1,6.6,9.1,10,7,5,6,7.6,0.092938575,-0.060981684,-0.3893953
Zero-Back Task,subject027,-9,8,1,8.6,10,3.4,7.4,9,1.8,9.1,10,5,5.1,1.6,8.9,0.092938575,-0.060981684,-0.3893953
Zero-Back Task,subject028,9,4,2.1,6.5,1,3.2,1,8,2.2,2.8,1,3.1,7.5,1.9,7.9,0.092938575,-0.060981684,-0.3893953
Zero-Back Task,subject028,-15,7,9.4,4.2,7,5,7.6,2.9,3.7,4,2.7,5,8.1,8,8.1,0.092938575,-0.060981684,-0.3893953
Zero-Back Task,subject029,9,9,1.1,9,3,1.2,1.1,1.3,3,4,5,1.3,9,6.1,7.8,0.092938575,-0.060981684,-0.3893953
Zero-Back Task,subject029,-13,6,6,3,3,10,6,5,8,2,8,10,7,5,8,0.092938575,-0.060981684,-0.3893953
Zero-Back Task,subject030,-12,7.4,2,6.2,8.6,10,8.9,5.6,2,10,7,3,6.6,10,9,0.092938575,-0.060981684,-0.3893953
Zero-Back Task,subject030,14,1.9,10,7.7,6.4,9.9,9.8,8,9,8.6,8.6,5.4,1,9.6,10,0.092938575,-0.060981684,-0.3893953
Zero-Back Task,subject031,-8,3.2,8.2,2.6,7.1,1.7,8.3,3.2,7.6,1,3.6,8,7.4,6.5,1.4,0.092938575,-0.060981684,-0.3893953
Zero-Back Task,subject031,-7,7.7,9.1,2.5,8.5,1.7,8.6,2.3,9.8,1.8,3.1,6.7,8.9,2.4,2.2,0.092938575,-0.060981684,-0.3893953
You Task,subject001,-13,3,9,3.8,8.7,3,7.2,7.7,7.5,9,7.4,2.4,4,2,10,-0.068696902,0.051619026,0.141604039
You Task,subject001,15,4,7,10,1.9,4.8,7.3,4.1,2,4,5.5,5,9.9,8,8,-0.068696902,0.051619026,0.141604039
You Task,subject002,5,8.5,10,3.1,9,8.7,8.9,6.5,5,4,3.7,6.1,3.8,8.4,8.1,-0.068696902,0.051619026,0.141604039
You Task,subject002,8,7.7,8.5,1.6,10,7,6.8,5.9,2.2,2.8,3,5,5.2,7.5,7.8,-0.068696902,0.051619026,0.141604039
You Task,subject003,-11,8.2,2.3,1.9,1,10,2,8.9,1.6,7.1,6.9,1.6,8,8.9,6.9,-0.068696902,0.051619026,0.141604039
You Task,subject003,9,7,5.6,3.1,1,10,1.4,7.5,1.9,6.5,7,1,8.1,8.9,8.7,-0.068696902,0.051619026,0.141604039
You Task,subject004,8,5.9,6.8,3.8,9.9,6.9,3.5,9.8,2.3,8.7,7,1.9,6.6,8.9,8.2,-0.068696902,0.051619026,0.141604039
You Task,subject004,14,9.5,6.3,1.4,9,9.3,1.1,10,7.9,8.2,7.5,1.8,3.8,9.3,9.5,-0.068696902,0.051619026,0.141604039
You Task,subject005,-7,10,2.2,2.2,10,9,1,1,2.3,5,6.4,1,6.8,8.8,9.5,-0.068696902,0.051619026,0.141604039
You Task,subject005,-5,10,1,1,10,9,1,1,2,4,7.3,1,4.6,10,8.9,-0.068696902,0.051619026,0.141604039
You Task,subject006,9,1.8,1.7,1,5.5,8.4,1,2,1,3.3,2.3,1.5,4.6,10,9.3,-0.068696902,0.051619026,0.141604039
You Task,subject006,9,1.7,1,1,3.3,5.1,1.4,7,5,2.9,2.6,2,5.6,9.6,2.8,-0.068696902,0.051619026,0.141604039
You Task,subject007,5,2.2,1,4.3,10,9.8,1,2,1.7,10,8.5,5.2,6.3,10,8.2,-0.068696902,0.051619026,0.141604039
You Task,subject007,-11,4.3,1,6,9.2,9,6.1,4.5,1.9,9,8,4.1,6.4,10,9,-0.068696902,0.051619026,0.141604039
You Task,subject008,12,8,3.9,6.3,8.2,6,7.4,7.4,4.7,7,7,5.7,5.2,7.8,6.6,-0.068696902,0.051619026,0.141604039
You Task,subject008,6,6.8,4.1,6.4,9.1,7.2,7,8,6,4.4,6.9,6,4.4,5,8.4,-0.068696902,0.051619026,0.141604039
You Task,subject009,-6,2.2,10,6.4,2,7,1,8.3,1.8,10,8,1,8,10,2,-0.068696902,0.051619026,0.141604039
You Task,subject009,-10,1,9,2,2.4,10,1,1,1.9,10,8.9,2.2,7.5,10,10,-0.068696902,0.051619026,0.141604039
You Task,subject010,-6,10,1,1,5.8,7.7,1,10,1,7.2,8.4,8,6.1,10,7.6,-0.068696902,0.051619026,0.141604039
You Task,subject010,-6,10,3.6,4.3,5.3,6.2,1.8,9.5,1,8,6.5,7.3,5.4,9.1,7.6,-0.068696902,0.051619026,0.141604039
You Task,subject011,-7,4.8,2.1,4,7.9,5.3,1.9,2,4.8,5.5,7.7,2.7,8.3,9.2,7.1,-0.068696902,0.051619026,0.141604039
You Task,subject011,-7,4.2,2.1,5,9.2,6.4,1.3,2.4,5,5.1,8.7,2.8,8.2,7.2,8.5,-0.068696902,0.051619026,0.141604039
You Task,subject012,15,10,1,1,10,9,1,1,1.6,9.5,8,1.3,8.6,10,10,-0.068696902,0.051619026,0.141604039
You Task,subject012,-14,10,1,1,10,10,1,1.2,1,9.2,9.2,1.3,8.9,10,10,-0.068696902,0.051619026,0.141604039
You Task,subject013,11,5.1,3.2,4,7,3.9,1.8,6.6,3,9,7.8,3.1,3.7,7,8.3,-0.068696902,0.051619026,0.141604039
You Task,subject013,12,4.5,6,2,7.6,2.7,4,6,3.8,7.6,7.5,5.2,4.4,7,8.7,-0.068696902,0.051619026,0.141604039
You Task,subject014,-11,6.3,2.7,2.1,8.5,8.2,1,6.9,3.2,6.8,6.6,2.2,8.2,9.6,8.9,-0.068696902,0.051619026,0.141604039
You Task,subject014,-13,8,5.8,7.4,2.2,8.4,1.1,7.7,1.7,3.3,7.9,3.3,9,8.6,8,-0.068696902,0.051619026,0.141604039
You Task,subject015,11,1,1,1,10,1,1,1,1,1,1,1,10,10,10,-0.068696902,0.051619026,0.141604039
You Task,subject015,-9,1,1,1,10,1.8,1,1,1,1,1,1,10,10,10,-0.068696902,0.051619026,0.141604039
You Task,subject016,12,6.9,3.1,2.4,8.9,1.9,6.3,3.4,7.8,7.3,3.6,8,4.3,7.8,2.5,-0.068696902,0.051619026,0.141604039
You Task,subject016,14,3.9,3.4,2.2,7.9,7.2,3.3,3.7,6.2,2.7,7,1.8,6.1,8.1,7,-0.068696902,0.051619026,0.141604039
You Task,subject017,10,8.5,1,3,1,3.2,3.9,4,8,10,6.4,8,8,10,4.6,-0.068696902,0.051619026,0.141604039
You Task,subject017,-15,7.3,3,2.7,2.2,6,3,3,3,7.6,7.4,5.1,7.2,7.4,9,-0.068696902,0.051619026,0.141604039
You Task,subject018,-15,7.6,7.4,3,6.7,8.9,2.4,3.4,3,7.7,5.8,2.3,8,9.6,8.2,-0.068696902,0.051619026,0.141604039
You Task,subject018,14,8.4,9.6,9,4.8,8.8,3.8,4.2,2.4,5.4,8,3.5,7.7,9.5,8.5,-0.068696902,0.051619026,0.141604039
You Task,subject019,11,5,10,4.7,6.9,4.4,5.2,7.9,10,3.3,1.1,10,6,7.9,6.4,-0.068696902,0.051619026,0.141604039
You Task,subject019,-12,9,1.6,7.5,8,6.9,9,6.9,6.2,3,10,6.8,5.6,9.6,8.8,-0.068696902,0.051619026,0.141604039
You Task,subject020,-13,10,3,3.5,10,2,3.3,7,4.9,7,3.2,1,6.3,6.7,10,-0.068696902,0.051619026,0.141604039
You Task,subject020,-13,7.8,6.7,2.8,10,3.5,9.1,2,10,2.4,8.1,7.7,10,4.1,5,-0.068696902,0.051619026,0.141604039
You Task,subject021,13,6.9,6.3,6.1,2.7,6.7,4.3,2.4,3.5,6.2,4.1,3.4,7.8,8.2,7.8,-0.068696902,0.051619026,0.141604039
You Task,subject021,-5,2.7,5,3.7,3.4,7.2,3.8,2.4,2.1,7,6.2,6.1,7.4,7.8,8.4,-0.068696902,0.051619026,0.141604039
You Task,subject022,10,10,1,1,9.1,9.4,8.1,1.5,2.1,8.6,10,1,10,10,10,-0.068696902,0.051619026,0.141604039
You Task,subject022,-7,9.8,1,2.4,2.9,9.2,10,1.7,4.1,6.5,2.7,9,10,7.1,10,-0.068696902,0.051619026,0.141604039
You Task,subject023,14,7.9,2.4,5.9,6,7.9,4.1,2,8.4,7.3,7.1,10,8.3,7,5.7,-0.068696902,0.051619026,0.141604039
You Task,subject023,9,7.2,6,3.6,3.5,2.6,6.3,7.9,6.8,4.6,6.5,7.9,7.3,4.7,8.3,-0.068696902,0.051619026,0.141604039
You Task,subject024,-11,8.7,9.3,1,10,8,4.1,9.6,3.2,8.9,7.7,2.2,7.1,10,9,-0.068696902,0.051619026,0.141604039
You Task,subject024,-15,8.5,8.7,1.4,10,8.2,3.2,8.2,3.8,8.6,8.8,8.2,6,9,8.5,-0.068696902,0.051619026,0.141604039
You Task,subject025,-6,6.1,2.6,2.5,6.6,7,2.8,8.6,3.6,6.2,6.8,2.5,6.8,7,3.3,-0.068696902,0.051619026,0.141604039
You Task,subject025,14,4.8,2.9,8,3.4,4,3.2,6.6,4.8,3.3,4,4,7.5,7.7,6.8,-0.068696902,0.051619026,0.141604039
You Task,subject026,6,1.2,8,2,10,9.4,1.6,2.2,1,9,4,1,4.6,10,9.4,-0.068696902,0.051619026,0.141604039
You Task,subject026,-11,5,7.8,1.4,10,7.2,2,3,1.8,9,6.2,4.2,6.8,10,7,-0.068696902,0.051619026,0.141604039
You Task,subject027,8,6.8,3,1.2,10,6.6,1.6,1,2.2,8.6,10,1.6,5.5,10,9.3,-0.068696902,0.051619026,0.141604039
You Task,subject027,-15,6.2,2.9,1.1,10,3.8,8.1,1.8,1.2,9.4,9.7,4,5.1,10,9.6,-0.068696902,0.051619026,0.141604039
You Task,subject028,6,8.6,7.9,6.8,2,7,4.7,7.1,4.5,7,9,8.5,5.7,9.6,3.8,-0.068696902,0.051619026,0.141604039
You Task,subject028,11,5.5,5.1,9.1,7,4,4,2.1,4.1,6.1,1.9,10,9.1,2.8,2.1,-0.068696902,0.051619026,0.141604039
You Task,subject029,6,7.6,5,2.6,1,7,1.3,2,8.1,10,8.9,6.2,5.3,10,10,-0.068696902,0.051619026,0.141604039
You Task,subject029,-13,2.3,2,1.4,5.9,5,1,8.5,4,1.7,3.7,5.6,5.3,7.6,7,-0.068696902,0.051619026,0.141604039
You Task,subject030,12,8,5.5,1,2.1,8.2,1,3.8,1,5,10,2.5,8,10,10,-0.068696902,0.051619026,0.141604039
You Task,subject030,14,5,1,1,3,10,1,1,1,3,5.7,1,2,10,10,-0.068696902,0.051619026,0.141604039
You Task,subject031,-13,8.7,2.6,2,6.6,9.4,1,5,1.9,7.7,6.1,1.2,8.9,10,10,-0.068696902,0.051619026,0.141604039
You Task,subject031,13,7,1.4,4.1,8.1,9.6,2.3,1.6,4.1,3.9,6.1,1.7,9.6,9.6,9.5,-0.068696902,0.051619026,0.141604039
Reading Task,subject001,-15,6.8,1,3,6.7,8,10,7.9,8.3,8,1,5,5,1,8.8,-0.19586954,-0.014883893,0.326889586
Reading Task,subject001,5,7.1,9,2.2,7.8,7.4,4.8,4.7,3.6,5.7,7.2,2.5,6.4,3,7.9,-0.19586954,-0.014883893,0.326889586
Reading Task,subject002,12,6.9,5.8,2.8,10,4.4,5.8,2.8,1.7,4,3.2,6.7,3.5,6.3,6.1,-0.19586954,-0.014883893,0.326889586
Reading Task,subject002,14,9,8.4,2,10,2.8,10,10,1,2.9,3,5.9,3.9,8.6,4.4,-0.19586954,-0.014883893,0.326889586
Reading Task,subject003,-7,9.8,6.5,2.2,1,6.4,3,8.2,3.7,2.2,5,4.3,5.3,1.7,1.8,-0.19586954,-0.014883893,0.326889586
Reading Task,subject003,14,8.2,7.5,3.4,1,6.2,1,9.1,1.8,3.4,7,2.6,6.7,4.5,5.3,-0.19586954,-0.014883893,0.326889586
Reading Task,subject004,-5,2,2.3,3.3,10,2.4,3.1,8.5,4.5,8.3,3.1,3.9,6.4,2.1,8.2,-0.19586954,-0.014883893,0.326889586
Reading Task,subject004,9,8.4,7.1,2.3,4.3,8,6.8,4.9,5.4,2,1.9,2.7,7,6,6,-0.19586954,-0.014883893,0.326889586
Reading Task,subject005,8,8.5,1,3,9.2,1,1,2.3,1,9,9.2,1,5,1,1.9,-0.19586954,-0.014883893,0.326889586
Reading Task,subject005,11,9.1,1,1,10,1,1,1,1,2.2,9,1,6.4,1,2.2,-0.19586954,-0.014883893,0.326889586
Reading Task,subject006,15,1,1.2,5.4,9,6.5,1,1.7,1,1,1,9.3,4,1.1,3.7,-0.19586954,-0.014883893,0.326889586
Reading Task,subject006,12,1,6.6,5.4,1.4,1,8.1,10,2.5,3.1,1,7.8,5.6,4.5,1,-0.19586954,-0.014883893,0.326889586
Reading Task,subject007,-9,5.4,1,4,1,4,2.8,1,3,4,6.8,1.8,6,10,2,-0.19586954,-0.014883893,0.326889586
Reading Task,subject007,7,7.2,8.4,8.4,3,6.6,8.6,8.8,8.8,3.6,8.7,9,5.6,8,3.6,-0.19586954,-0.014883893,0.326889586
Reading Task,subject008,6,8,1,6.6,2.5,5.5,2.4,4.2,3.1,2.8,9,7,6.5,7.3,8.5,-0.19586954,-0.014883893,0.326889586
Reading Task,subject008,10,7,2.7,2.9,2.8,8.5,5.4,3.5,3,2.2,8.8,8,8.4,8.1,7.4,-0.19586954,-0.014883893,0.326889586
Reading Task,subject009,-14,5.7,5.9,6.7,1,4.2,2,2.8,2.2,5.8,4.1,1.2,6.1,1.5,7.5,-0.19586954,-0.014883893,0.326889586
Reading Task,subject009,-15,2.6,2.8,4,1,5.2,7,8,9,4.6,2.1,1,6.4,1.7,2,-0.19586954,-0.014883893,0.326889586
Reading Task,subject010,11,1,5.4,1,7.6,1,1,10,2.4,1,4.8,1,4.9,2,4.6,-0.19586954,-0.014883893,0.326889586
Reading Task,subject010,12,1.5,3,1,5.7,2.7,1,7.5,1,2.5,5.5,3.7,5.4,7,8,-0.19586954,-0.014883893,0.326889586
Reading Task,subject011,7,1,3.5,2.8,8.3,2.3,2,6.2,4.6,8,7.2,2.1,8.8,3.9,6.2,-0.19586954,-0.014883893,0.326889586
Reading Task,subject011,8,8.6,7.4,6.8,5.5,5,4.8,6.1,8.1,5,4.8,7.3,8.2,3.3,5.8,-0.19586954,-0.014883893,0.326889586
Reading Task,subject012,11,10,1,1,7.1,7.9,1.3,1,1,9.1,9.7,1,5.1,7.2,9.1,-0.19586954,-0.014883893,0.326889586
Reading Task,subject012,7,8.9,1,1,7.5,1,1.6,2.6,1.7,6,5.1,1,6,1,2.6,-0.19586954,-0.014883893,0.326889586
Reading Task,subject013,-7,5.9,7.5,4.2,5.2,1,1.3,5.5,1,5.3,5.7,6.4,8.4,3,3.8,-0.19586954,-0.014883893,0.326889586
Reading Task,subject013,-14,6.7,3.1,2,5,7.2,1,4.1,2,4.1,6.4,1.3,7.7,4.2,7.4,-0.19586954,-0.014883893,0.326889586
Reading Task,subject014,-13,7.6,7.2,4,1.5,3.3,4,3.3,4.8,2.7,3.4,7.9,7.2,4.2,3.7,-0.19586954,-0.014883893,0.326889586
Reading Task,subject014,13,6.9,3.5,3.9,5.8,6.6,4,5.6,3.2,4.6,5.3,7.9,6.3,8.6,6.8,-0.19586954,-0.014883893,0.326889586
Reading Task,subject015,8,5.7,7.1,1.4,10,1,7.3,8,3.2,1,1.6,8,6.2,5.6,5.9,-0.19586954,-0.014883893,0.326889586
Reading Task,subject015,-11,7.9,7.9,1,7.2,1.1,7.2,7.1,7.8,1.1,1.2,7,3.6,7.4,6.8,-0.19586954,-0.014883893,0.326889586
Reading Task,subject016,8,7.8,2,1,2.1,3.1,7.8,9.3,3.2,2,4,2.8,2.2,9.2,9.2,-0.19586954,-0.014883893,0.326889586
Reading Task,subject016,12,5.7,3,1.8,2.5,5,4.5,6,2.8,6.6,2.1,7.1,7.5,4.6,3.1,-0.19586954,-0.014883893,0.326889586
Reading Task,subject017,13,5,7.2,4.1,1,8.3,7.9,3.8,4.8,6.1,10,2,4.9,4.6,3.6,-0.19586954,-0.014883893,0.326889586
Reading Task,subject017,-12,2.9,10,10,1,3,8.5,7.5,3,2,8.7,2.8,5.5,3,3.4,-0.19586954,-0.014883893,0.326889586
Reading Task,subject018,-15,7,2.9,2.9,7.9,8,3.5,3.6,2.1,3,5.3,2.9,6.5,4.5,6.7,-0.19586954,-0.014883893,0.326889586
Reading Task,subject018,11,6.8,4.9,3,5.2,7,4.2,3.5,2.3,3,6.1,6.6,7.6,7,6.2,-0.19586954,-0.014883893,0.326889586
Reading Task,subject019,14,7,6.8,1.5,8.2,6.8,6.4,8.7,7.8,4.3,3.6,7.3,5.9,7.9,9,-0.19586954,-0.014883893,0.326889586
Reading Task,subject019,12,6.7,1.8,5.9,9.8,9,3,5.8,4.5,8,3,7,3.9,4,6.6,-0.19586954,-0.014883893,0.326889586
Reading Task,subject020,-7,3.7,1.9,4.4,8,8.2,5,9.5,3,8.7,5.3,8.3,7.1,8,4.1,-0.19586954,-0.014883893,0.326889586
Reading Task,subject020,7,9,1.9,7.9,8.7,8,8.6,7,4.1,8.8,2.7,3.1,7,4,8.9,-0.19586954,-0.014883893,0.326889586
Reading Task,subject021,11,2.4,2.5,1.8,6.8,5.1,2,6.7,3,3.7,4.4,2.4,5.1,4.7,7.4,-0.19586954,-0.014883893,0.326889586
Reading Task,subject021,-15,5.4,7.5,4,4.4,4.3,4.5,2.7,3.6,3.9,3.9,7.3,6.8,7.9,3.7,-0.19586954,-0.014883893,0.326889586
Reading Task,subject022,11,9.4,2.3,2.5,9,1,7.6,10,3,3,6.1,9.8,10,10,3.6,-0.19586954,-0.014883893,0.326889586
Reading Task,subject022,-15,10,3.9,3.1,10,1,10,10,3.4,10,9.5,10,10,9.6,1.9,-0.19586954,-0.014883893,0.326889586
Reading Task,subject023,-6,2.6,4.5,3.5,8.1,6.1,5.1,7.4,8.3,4.7,6.7,7,3.2,6.5,7.7,-0.19586954,-0.014883893,0.326889586
Reading Task,subject023,13,7.1,6,6,6.8,7.5,4.6,6.3,8.5,9,7.6,7.1,5.3,6.9,8.9,-0.19586954,-0.014883893,0.326889586
Reading Task,subject024,-8,4,2,1.6,8.4,2.2,6,7.1,6.6,2.1,1.8,1.9,5.2,7.9,3.8,-0.19586954,-0.014883893,0.326889586
Reading Task,subject024,6,7.4,6.5,3.3,8.4,7.7,7.8,1.5,8.3,3.2,8.3,8.6,2.7,9.9,7.6,-0.19586954,-0.014883893,0.326889586
Reading Task,subject025,5,8,6.7,3.9,5.4,3,7.4,6.9,6.2,4.2,7.2,4.4,6.8,4.5,8,-0.19586954,-0.014883893,0.326889586
Reading Task,subject025,6,6.7,3.6,4.1,3.8,7.4,3.6,3.4,6.4,2.9,4.4,4.5,4.2,8.5,4.2,-0.19586954,-0.014883893,0.326889586
Reading Task,subject026,-13,1,8.2,1.4,10,5.6,1,3.6,1.2,9,7,1,7.4,6,2,-0.19586954,-0.014883893,0.326889586
Reading Task,subject026,8,2,3.8,1,10,1,5,4.6,1,7.4,3.2,2,7.6,10,7.8,-0.19586954,-0.014883893,0.326889586
