Task_name,Participant#,Runtime_mod,Absorption_response,Other_response,Problem_response,Words_response,Sounds_response,Images_response,Past_response,Distracting_response,Focus_response,Intrusive_response,Deliberate_response,Detailed_response,Future_response,Emotion_response,Self_response,Knowledge_response,Gradient1,Gradient2,Gradient3,FAC1_1,FAC2_1,FAC3_1,FAC4_1
Easy Math Task,subject023,12,3,10,8.89999999999999,10,9.1,9.29999999999999,10,10,8,10,2.1,10,2.1,10,8.59999999999999,10,-.124954138,.332221971,-.020870498,-.344008472016807,1.85808183903132,1.78954056219852,.0622098566089214
Easy Math Task,subject023,8,10,10,10,10,10,10,9.9,10,6.79999999999999,10,1,8,10,10,10,10,-.124954138,.332221971,-.020870498,.185083378618758,2.92810058121425,1.20439896692341,.762474241640835
Hard Math Task,subject023,9,9.49999999999999,1,10,8.69999999999999,10,2.6,2.6,1.00000000000001,10,10,9,10,7.99999999999999,5.30000000000002,7.49999999999999,9.59999999999999,-.275798122,.402380589,-.407389088,2.09777414272559,.859066650829916,-.826048210096695,1.39565493904937
Hard Math Task,subject023,7,2,2.20000000000001,10,6,4.10000000000002,5.7,1.80000000000001,1,10,2.6,9,8,7,6,8.89999999999999,9,-.275798122,.402380589,-.407389088,1.267023146444,-.365182730618842,-.671708794739893,.645044765138599
Hard Math Task,subject023,8,8.69999999999999,1.70000000000002,10,6.8,6.10000000000001,10,6.8,2,9.69999999999998,2.2,9.09999999999999,8.89999999999999,7.1,5,8,8.59999999999999,-.275798122,.402380589,-.407389088,1.84662725440794,.00774302132071877,-.0601592560526409,.84466670883852
Movie Task-bridge,subject024,-5,2.50000000000001,7,3.4,9,1,7,1,1.3,7.79999999999999,1.2,5.5,1,2,6.00000000000001,1,3.5,-.055046289,.280933569,.317858122,-.946352147750796,-1.1966330336977,-.136446554035688,-.522958784551716
Movie Task-bridge,subject024,-5,2.50000000000001,7,3.4,9,1,7,1,1.3,7.79999999999999,1.2,5.5,1,2,6.00000000000001,1,3.5,-.055046289,.280933569,.317858122,-.946352147750796,-1.1966330336977,-.136446554035688,-.522958784551716
Movie Task-incept,subject024,10,1,1,1,1,1,6.30000000000001,1,1,1,1,5.8,1,3.8,5.4,1,2.40000000000002,-.293453447,.376771714,.156545561,-.853512282406766,-.844951593309767,-1.82533872783413,-1.41885167124079
Movie Task-incept,subject024,10,1,1,1,1,1,6.30000000000001,1,1,1,1,5.8,1,3.8,5.4,1,2.40000000000002,-.293453447,.376771714,.156545561,-.853512282406766,-.844951593309767,-1.82533872783413,-1.41885167124079
Zero-Back Task,subject024,10,1,1,1,1,1,3.7,1,1,1,1,5.5,1,1,4.80000000000002,1,1,.092938821,-.060981931,-.389395513,-1.12553625503683,-1.30570819090926,-1.73484816583139,-1.37136323643222
Zero-Back Task,subject024,-10,5.6,6.3,1,1,1,1,6.3,1,1.8,5.7,2.5,8.2,1,7.29999999999999,10,9.29999999999999,.092938821,-.060981931,-.389395513,-.392210770029663,-.546511279103625,.663755222447603,-1.36923782519673
Zero-Back Task,subject024,5,7.9,7.89999999999999,1,1,1,6.20000000000001,1,1.60000000000001,4.5,4.4,2.70000000000001,3,7.00000000000001,5.60000000000001,10,1,.092938821,-.060981931,-.389395513,-1.19378748514041,.669220126750446,-.892295671397041,-.682136161441482
One-Back Task,subject024,-6,10,1,1,10,1,10,1,1,1,1,10,1,1,4.60000000000002,1,10,-.009918255,-.030028992,-.537272264,.72673848764462,-1.74085235120084,.0954170469941584,-1.14513238208235
One-Back Task,subject024,9,7.59999999999999,1,1,10,1,10,1,2.5,1,1,8.49999999999999,1,1,3.30000000000001,1,8.40000000000001,-.009918255,-.030028992,-.537272264,.0286305707987531,-1.67995735000291,.0549199599167882,-.912355646975853
One-Back Task,subject024,-7,7.49999999999999,1,1,2.1,1,10,7.29999999999999,6.70000000000001,1,6.00000000000001,7.2,6.00000000000001,1,5.2,4.3,10,-.009918255,-.030028992,-.537272264,.0903319564183717,-.312880065963059,.302036304076893,-.867856245626566
Finger Tapping Task,subject024,14,1,1,1,1,1,1,1,1,1,1.6,4.7,1,1.8,5.1,1,1,-.090963574,-.241336366,-.170440839,-1.21774613085621,-1.30741133096922,-1.8225716028335,-1.19359750141685
Finger Tapping Task,subject024,7,1.7,1,1,1,1,7.39999999999999,1,1,1,1.7,3.00000000000001,1.6,1,4.30000000000002,1,1,-.090963574,-.241336366,-.170440839,-1.34649946172332,-.879584023409395,-1.67662684191739,-1.38346482923163
Finger Tapping Task,subject024,7,7,9.1,1,1,1,1,1,1,1,2.80000000000001,6.20000000000001,5.40000000000001,1,5.20000000000001,1.90000000000001,1,-.090963574,-.241336366,-.170440839,-.508938965106381,-.829965249471851,-1.01947413574073,-1.4371618205016
GoNoGo Task,subject024,11,8.79999999999999,1,1,1,1,5,1,1,1,6.9,5.1,6.6,1,3.60000000000001,6.80000000000001,1,-.31702636,.036362577,-.159410417,-.224795916543699,-.151566956338355,-1.47990128910896,-.890944067295738
GoNoGo Task,subject024,-7,10,1,4.6,1,1,7.29999999999999,1.6,1.8,1,2.7,5.9,1,1,2,1,1.8,-.31702636,.036362577,-.159410417,-.322024732122114,-1.07461294204537,-1.61815996347781,-.281824265700362
GoNoGo Task,subject024,-13,1,1,1,1,1,9,3,1,1,1,5.30000000000001,1,1,4.6,3.80000000000001,1,-.31702636,.036362577,-.159410417,-1.2167002027957,-.881062736493219,-1.25860323907484,-1.60457055484591
Two-Back Task-faces,subject024,-7,4.00000000000001,1,1,1,1,10,1,1,1,1,1,1,1,2,1,1,-.025340712,.386745896,-.434225517,-1.66123413357921,-.935759084647928,-1.47587981135968,-1.05449080505276
